address,ZRXSupplyInterest,ZRXBorrowInterest,BATSupplyInterest,BATBorrowInterest,REPSupplyInterest,REPBorrowInterest,WETHSupplyInterest,WETHBorrowInterest,SAISupplyInterest,SAIBorrowInterest,ETHSupplyInterest,ETHBorrowInterest,USDCSupplyInterest,USDCBorrowInterest,WBTCSupplyInterest,WBTCBorrowInterest,DAISupplyInterest,DAIBorrowInterest
0x00007a2b060a12AE74267dC3F630908742966338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.418537425612857e-08,0.0,0,0,0,0,0,0,0,0
0x0004d2A2f9a823C1A585fDE6514A17FF695E0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.66046867678833,0.0,0,0,0,0,0,0,0,0
0x0006e4548AED4502ec8c844567840Ce6eF1013f5,0.00011525600554699298,0.39209419995194633,0.0,0.001817222257175726,0.0,0.0,0.0825162021427514,6.806925013452422,244.89386540699405,1.596997963400909,0,0,0,0,0,0,0,0
0x000A0B24B1476f647A2a2fa4474f9ed32C685a8e,0.0,0.0,0.0,0.0,0.0,0.0,1.7064574831134027,0.0,6.998498208948599,0.0,0,0,0,0,0,0,0,0
0x000BE263b3CEb55D22Ed9b40D7619f62c4862C80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.3481106591249,0.0,0,0,0,0,0,0,0,0
0x000C1CAc6FEF87DE3fB1e3b15bB1b5311020e1C3,0.0,0.0,0.0,0.0,0.0,0.0,0.00011043541300131369,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0x00102d0Dbaa8150Dd1aD7aDDa8C78c13eB884712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1622665592789345,0.0,0,0,0,0,0,0,0,0
0x0029Ab135b5Be72168BF80F140D60a9264dbD0C5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5197370057126944,0.0,0,0,0,0,0,0,0,0
0x002F9CaF40a444f20813DA783D152bdfAF42852F,0.3090783266987746,0.0,0.0,0.0,0.812035320103436,0.0,0.2168111492454133,0.0,33.48119781658178,0.0,0,0,0,0,0,0,0,0
0x00329E92ED6fD0A0ef76DA9C476D51FaEB6B26a0,2.092348303900421,0.0,0.0,12.946364287969192,0.0,0.0,58.2940778443051,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0x00399dB67D55EC5eaf9F2aE89E6de35a7D40471E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8761994114267536,0.0,0,0,0,0,0,0,0,0
0x0039F22efB07A647557C7C5d17854CFD6D489eF3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2451295752889284,0.0,0,0,0,0,0,0,0,0
0x003c52A71c887461087154EcCCed08cb1C5384A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.483200163728878,0.0,0,0,0,0,0,0,0,0
0x003dC32fE920a4aAeeD12dC87E145F030aa753f3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.58766041473887,0.0,0,0,0,0,0,0,0,0
0x00536C203A80f5770985D6E3a88F6FbaDdC403A3,0.0,0.0,0.0,0.0,0.0,0.0,4.930165093274669e-07,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0x0053ed772af5674126C285Ec0516930BfB24bFc4,0.00047702851612595925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0x00552d85D4D1b09b76786c72798C5E5bD296b95b,0.0,0.0,0.4454280126276205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0x0064a9A2E8D658e393a6273CF9aa409014eDad90,0.0,0.0,0.004081939459863421,0.0,0.0,0.0,0.095860175862459,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0x0073C423a0b5D88B330d481301025dB1ab65d891,1.1991462199192184,0.0,0.0,0.0,0.0,0.0,14.889475154106172,0.0,61.857374273741804,0.0,0,0,0,0,0,0,0,0
0x00774C5BeAAFAdb1f5F39BC93fb3dF6bEF6D1f90,0.0,0.0,0.0,0.0,0.0,0.0,0.11164296391747497,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0x007EFD2FB97f65D4F805c3662d4d20BaE6e08d9B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0x007Eb60FA5eb50a300294fc5164dcc75B88f8E5c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002584633067919014,0.0,0,0,0,0,0,0,0,0
0x00809B9263aAB2856bF65Be3D3Bc3fcB9e19c1Fb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.12129623228684,0.0,0,0,0,0,0,0,0,0
0x009B56330aE5ec5042B9ca46Ddb3043cC0D006F3,0.0,0.029870691072271964,0.0,0.0,0.0,0.0,9.58465122479336,0.0,2.350179254761416,0.0,0,0,0,0,0,0,0,0
0x009C07CC41a358176C97b525284D50F4960BC939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4142658352423304,0.0,0,0,0,0,0,0,0,0
0x009b6817807c332b9445f5C9cf2AC94631fe876e,0.0,0.015460702531629546,0.0,2.775174241402762,0.0,11.61553004506143,0.9397984171250751,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0x00A1B27aBA96C12a8e7198a94b83C8A396d90158,0.0,0.0,0.0,4.8008945917729886e-08,0.0,0.0,2.632950572709255e-08,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0x00A7022bAfA31D0b7345ae43f7C45aFe625D088B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013120062800477274,0.0,0,0,0,0,0,0,0,0
0x00Ca89aacFcF2C52136935b852aF1668169f5035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.980755495506394,0.0,0,0,0,0,0,0,0,0
0x00D1E3c85516D2e5E48a3A02bd6b5521C84f232F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.004033455633995,0.0,0,0,0,0,0,0,0,0
0x00E92C2788bf0391B590f52Af955A0429Caa280b,0.0,0.0,0.0,0.0,0.0,0.0,1.1227187327755855e-06,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0x00Eca04fe1CF81E245Bb9c96aad8f165EAd5be24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1681049943736838e-07,0.0,0,0,0,0,0,0,0,0
0x00F5bA0190675051175EacBc21B2dC649887D3B9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0x00Fc337FeFbF8Bb17503325b5C0876c4e03EdC5f,0.0,3.951785231576647e-05,5.8116720858890424e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0x00b6A5D252d5d02115470A112664543325d95B2B,0.0,0.0,0.0,0.0,5.404969517034735e-07,0.0,0.014349421280075637,5.644810921872857e-06,0.0,0.0,0,0,0,0,0,0,0,0
0x00b6Fa4A29cd69533cf9200ec5eE6C958c43d2b1,0.0,0.0,0.0,0.0,0.0,0.0,0.0013661820148952284,0.0,0.0,0.0,0,0,0,0,0,0,0,0
